Price,Status,Area,Rate per sqft,Property Type,Locality,Builder Name,RERA Approval,BHK_Count,Socity,Company Name,Flat Type
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Urbankasa,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
26800000.0,Under Construction,2000,"13,400 ",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,PAARTH REALTY,Approved by RERA,3.0, Trehan Luxury Floors 71,Trehan,Apartment
12600000.0,Under Construction,1055,"12,000 ",2 BHK Apartment in Signature Global City 79 B,Sector 79,Mehta Real Estate,Approved by RERA,2.0, Signature Global City 79 B,Signature,Apartment
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Empire Landbase,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
21100000.0,Ready to move,1046,"20,200 ",2 BHK Apartment in Godrej Air,Sector 85,home,Not approved by RERA,2.0, Godrej Air,Godrej,Apartment
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Property In Gurgaon,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,properties for sale in Gurgaon,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
45000000.0,Ready to move,3400,"13,235 ",4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Akhilesh Sharma,Not approved by RERA,4.0, Today Developer 6,Today,Floor
26800000.0,Under Construction,2000,"13,400 ",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,SevenRealtys,Approved by RERA,3.0, Trehan Luxury Floors 71,Trehan,Apartment
37600000.0,Under Construction,1795,"21,000 ",3 BHK Apartment in M3M M3M Crown,Sector 111,Accurate Realty Venture Private Limited,Approved by RERA,3.0, M3M M3M Crown,M3M,Apartment
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Today Associates,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
48000000.0,Ready to move,2802,"17,130 ",3 BHK Apartment in Experion Windchants,Sector 112,Chirag khatri,Not approved by RERA,3.0, Experion W,Experion,Apartment
12000000.0,Ready to move,1322,"9,077 ",2 BHK Apartment in Umang Winter Hills,Sector 77,Khushi Housing Solutions Pvt Ltd,Not approved by RERA,2.0, Umang W,Umang,Apartment
14500000.0,Ready to move,1490,"9,731 ",2 BHK Apartment in Godrej 101,Sector 79,True blue Advisers,Not approved by RERA,2.0, Godrej 101,Godrej,Apartment
41000000.0,Ready to move,2185,"18,764 ",3 BHK Apartment,Sector 72,Rising Realtors,Not approved by RERA,3.0,Outside Socity,Outside,Plot
14900000.0,Ready to move,1822,"8,177 ",3 BHK Apartment in Umang Winter Hills,Sector 77,Get Home Fix,Not approved by RERA,3.0, Umang W,Umang,Apartment
22500000.0,Under Construction,1829,"12,301 ",3 BHK Apartment in Godrej Air,Sector 85,Arihant dream homes,Approved by RERA,3.0, Godrej Air,Godrej,Apartment
45000000.0,Ready to move,3762,"11,961 ",4 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Neer Me Consultant,Not approved by RERA,4.0, Raheja Sushant Lok 1 Floors,Raheja,Floor
29000000.0,Under Construction,1855,"15,633 ",3 BHK Apartment in Godrej Meridien,Sector 106,Sansiddhi Homes,Approved by RERA,3.0, Godrej Meridien,Godrej,Apartment
28000000.0,Ready to move,2162,"12,950 ",4 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Gateway Realty,Not approved by RERA,4.0, Shapoorji Pallonji Joyville Phase 1,Shapoorji,Apartment
27500000.0,Ready to move,2103,"13,076 ",3 BHK Apartment in DLF The Primus,Sector 82A,Neeraj Co,Not approved by RERA,3.0, DLF The Primus,DLF,Apartment
34000000.0,Under Construction,1967,"17,300 ",3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Gromax India,Approved by RERA,3.0, Krisumi Waterfall Residences,Krisumi,Apartment
6200000.0,Under Construction,765,"8,104 ",2 BHK Independent House,Sector 104,Sunrise Property Consultants,Not approved by RERA,2.0,Outside Socity,Outside,Plot
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,AG Luxury Abodes,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
27000000.0,Ready to move,4500,"6,000 ",4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,home,Not approved by RERA,4.0, Reputed Builder Sushant Lok 3,Reputed,Floor
4900000.0,Ready to move,575,"8,521 ",2 BHK Apartment,Sector 93,Property In Gurgaon,Not approved by RERA,2.0,Outside Socity,Outside,Plot
14500000.0,Under Construction,1751,"8,280 ",3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,properties for sale in Gurgaon,Approved by RERA,3.0, Eldeco Acclaim,Eldeco,Apartment
18500000.0,Ready to move,1550,"11,935 ",2 BHK Apartment in Puri Emerald Bay,Sector 104,Paramount Associates,Not approved by RERA,2.0, Puri Emerald Bay,Puri,Apartment
1970000.0,Under Construction,220,"8,954 ",1 RK Studio Apartment in DLF Magnolias,Sector 42,N S ASSOCIATES,Approved by RERA,1.0, DLF Magnolias,DLF,Apartment
17100000.0,Under Construction,921,"18,566 ",1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,MAS Infra,Approved by RERA,1.0, Krisumi Waterfall Suites,Krisumi,Apartment
19300000.0,Ready to move,1840,"10,500 ",3 BHK Independent Floor in Ahuja Builders 4,Sector 23 Gurgaon,Mangalam infratech,Not approved by RERA,3.0, Ahuja Builders 4,Ahuja,Floor
12500000.0,Under Construction,1454,"8,629 ",3 BHK Independent Floor in Landmark Avana 1st Phase,Sector 95,MAA KARNI PROPERTIES,Approved by RERA,3.0, Landmark Avana 1st Phase,Landmark,Floor
28500000.0,Ready to move,2010,"14,179 ",4 BHK Apartment in Tulip Violet,Sector 69,Surya Homes Developers,Not approved by RERA,4.0, Tulip Violet,Tulip,Apartment
25000000.0,Ready to move,2660,"9,398 ",3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,SMART HOMZZ,Not approved by RERA,3.0, Bestech Park View Grand Spa,Bestech,Apartment
22500000.0,Ready to move,2215,"10,158 ",4 BHK Apartment in DLF Regal Gardens,Sector 90,WADHWA REALTORS,Not approved by RERA,4.0, DLF Regal Gardens,DLF,Apartment
25000000.0,Ready to move,2550,"9,803 ",3 BHK Independent Floor,Sector 57,Silverkeys realestate,Not approved by RERA,3.0,Outside Socity,Outside,Plot
10500000.0,Under Construction,1550,"6,774 ",3 BHK Independent Floor in Signature Global Park 1,Sector 36 Sohna,Gravity Advisors Pvt Ltd,Approved by RERA,3.0, Signature Global Park 1,Signature,Floor
38000000.0,Ready to move,2600,"14,615 ",4 BHK Independent Floor,Sector 41,Saryu Chadha,Not approved by RERA,4.0,Outside Socity,Outside,Plot
33900000.0,Ready to move,2675,"12,710 ",4 BHK Apartment in Bestech Park View Altura,Sector 79,SANDEEP RADHE ASSOCIATES,Not approved by RERA,4.0, Bestech Park View Altura,Bestech,Apartment
4300000.0,Ready to move,500,"8,600 ",2 BHK Apartment in ROF Aalayas,Sector 102,Rainbow Realty RERA-311,Not approved by RERA,2.0, ROF Aalayas,ROF,Apartment
17200000.0,Ready to move,2064,"8,333 ",3 BHK Apartment in DLF New Town Heights 1,Sector 90,Sagar Real Estates s/c Milestone Buildspace Pvt Ltd,Not approved by RERA,3.0, DLF New Town Heights 1,DLF,Apartment
7970000.0,Ready to move,980,"8,132 ",2 BHK Apartment in Umang Winter Hills,Sector 77,Amit,Not approved by RERA,2.0, Umang W,Umang,Apartment
145600000.0,Under Construction,4625,"31,500 ",4 BHK Apartment in Ireo Grand Hyatt,Sector 58,Dream House,Approved by RERA,4.0, Ireo Grand Hyatt,Ireo,Apartment
12000000.0,Ready to move,1283,"9,353 ",2 BHK Apartment in Experion The Heartsong,Sector 108,ADS REALTY,Not approved by RERA,2.0, Experion The Heartsong,Experion,Apartment
8500000.0,New,1296,"6,558 ",Residential Plot,Palam Vihar Extension,home,Not approved by RERA,0.0,Outside Socity,Outside,Plot
11500000.0,Resale,1260,"9,126 ",Residential Plot in BPTP District 6 Block L,Sector 84,Property In Gurgaon,Not approved by RERA,6.0, BPTP District 6 Block L,BPTP,Plot
22200000.000000004,Resale,1602,"13,888 ",Residential Plot in Raheja Vanya City Plots,Sector 99A,properties for sale in Gurgaon,Approved by RERA,0.0, Raheja Vanya City Plots,Raheja,Plot
20000000.0,Ready to move,1800,"11,111 ",3 BHK Independent Floor,Sector 57,Geeta Properrties,Not approved by RERA,3.0,Outside Socity,Outside,Plot
5200000.0,Ready to move,516,"10,077 ",2 BHK Apartment in Apex Our Homes,Sector 37C,Aashiana Realtors,Not approved by RERA,2.0, Apex Our Homes,Apex,Apartment
12500000.0,Ready to move,1430,"8,741 ",2 BHK Apartment in Vatika The Seven Lamps,Sector 82,R M reality,Not approved by RERA,2.0, Vatika The Seven Lamps,Vatika,Apartment
14000000.0,Ready to move,1800,"7,777 ",3 BHK Independent Floor,Sector 57,Vaishno Associates,Not approved by RERA,3.0,Outside Socity,Outside,Plot
13200000.0,New,1485,"8,889 ",Residential Plot in Faith Ireo Savannah,Sector 35 Sohna,Defence Realtors And Developers,Approved by RERA,0.0, Faith Ireo Savannah,Faith,Plot
22799999.999999996,Ready to move,1965,"11,603 ",3 BHK Apartment in Saan Verdante,Sector 95,Prime Associates,Not approved by RERA,3.0, Saan Verdante,Saan,Apartment
24600000.0,Ready to move,2600,"9,462 ",4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Prop cue,Not approved by RERA,4.0, Central Park Aqua Front Towers,Central,Apartment
39000000.0,Ready to move,2700,"14,444 ",4 BHK Independent Floor,Sushant Lok,SHRI SAI REALTORS,Not approved by RERA,4.0,Outside Socity,Outside,Plot
172100000.0,Ready to move,7650,"22,496 ",5 BHK Villa in Vipul Tatvam Villas,Sector 48,Dream Home Realty,Not approved by RERA,5.0, Vipul Tatvam Villas,Vipul,Villa
41500000.0,Under Construction,4500,"9,222 ",4 BHK Independent Floor,Sector 24,Thirty Three Estates Developers,Not approved by RERA,4.0,Outside Socity,Outside,Plot
95500000.0,Ready to move,6371,"15,000 ",5 BHK Apartment in M3M St Andrews Golf Residences,Sector 65,99 Estates Pvt Ltd,Not approved by RERA,5.0, M3M St Andrews Golf Residences,M3M,Apartment
13700000.000000002,New,1575,"8,761 ",Residential Plot in Meffier Golden Park,Sector 4 Sohna,Sachin,Approved by RERA,0.0, Meffier Golden Park,Meffier,Plot
13400000.0,Under Construction,1496,"9,007 ",3 BHK Apartment in Signature Global City 93,Sector 93,Whitehousz,Approved by RERA,3.0, Signature Global City 93,Signature,Apartment
18500000.0,Ready to move,2000,"9,250 ",3 BHK Independent Floor in Uppal Southend,Sector 49,Yasir,Not approved by RERA,3.0, Uppal Southend,Uppal,Floor
286000000.0,Under Construction,1300,"2,20,000 ",2 BHK Apartment in M3M Capital,Sector 113,Vijayata Enterprises,Approved by RERA,2.0, M3M Capital,M3M,Apartment
43800000.0,Ready to move,2660,"16,500 ",3 BHK Apartment in M3M Merlin,Sector 67,GURUGRAM LANDBASE,Not approved by RERA,3.0, M3M Merl,M3M,Apartment
2380000.0,Under Construction,600,"3,966 ",2 BHK Apartment in Ganga TATHASTU,Sector 4 Sohna,Investor's Landbase,Approved by RERA,2.0, Ganga TATHASTU,Ganga,Apartment
14400000.0,Under Construction,1528,"9,450 ",3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,Approved by RERA,3.0, M3M Antalya Hills Phase I,M3M,Apartment
27500000.0,Ready to move,2700,"10,185 ",4 BHK Independent Floor,Sector 57,Property In Gurgaon,Not approved by RERA,4.0,Outside Socity,Outside,Plot
22500000.0,Ready to move,2430,"9,259 ",3 BHK Independent Floor in Ansal Versalia Phase A1,Sector 67,properties for sale in Gurgaon,Not approved by RERA,3.0, Ansal Versalia Phase A1,Ansal,Floor
7000000.0,Ready to move,915,"7,650 ",2 BHK Apartment in Suncity Avenue 102,Sector 102,MM India Pvt Ltd,Not approved by RERA,2.0, Suncity Avenue 102,Suncity,Apartment
37000000.0,Ready to move,2000,"18,500 ",3 BHK Apartment in Central Park Tower C,Sector 48,seller,Not approved by RERA,3.0, Central Park Tower C,Central,Apartment
32500000.0,Ready to move,4300,"7,558 ",4 BHK Independent Floor,Sector 49,seller,Not approved by RERA,4.0,Outside Socity,Outside,Plot
14000000.0,Ready to move,1231,"11,372 ",3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,seller,Not approved by RERA,3.0, Reputed Builder Sushant Lok 3,Reputed,Floor
32500000.0,Ready to move,3200,"10,156 ",4 BHK Independent Floor in Dhara Malibu Town Floors,Sector 47,seller,Not approved by RERA,4.0, Dhara Malibu Town Floors,Dhara,Floor
20000000.0,Ready to move,1700,"11,764 ",3 BHK Independent Floor,Sector 57,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
27000000.0,Ready to move,3000,"9,000 ",3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not approved by RERA,3.0, Reputed Builder HUDA Colony,Reputed,Floor
25000000.0,Ready to move,900,"27,777 ",2 BHK Independent House in Surendra Luxury Floor 45,Sector 45,seller,Not approved by RERA,2.0, Surendra Luxury Floor 45,Surendra,House
6500000.0,Ready to move,715,"9,090 ",2 BHK Apartment in Pyramid Urban Homes 2,Sector 86,seller,Not approved by RERA,2.0, Pyramid Urban Homes 2,Pyramid,Apartment
26000000.0,Ready to move,2200,"11,818 ",3 BHK Independent Floor,Sector 47,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
20000000.0,Ready to move,2300,"8,695 ",3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not approved by RERA,3.0, Reputed Builder HUDA Colony,Reputed,Floor
18000000.0,Ready to move,1700,"10,588 ",3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not approved by RERA,3.0, Reputed Builder HUDA Colony,Reputed,Floor
23000000.0,Ready to move,2340,"9,829 ",3 BHK Independent Floor in Ansal Esencia,Sector 67,seller,Not approved by RERA,3.0, Ansal Esencia,Ansal,Floor
18000000.0,Ready to move,900,"20,000 ",1 BHK Independent House,Sector 45,seller,Not approved by RERA,1.0,Outside Socity,Outside,Plot
15000000.0,Ready to move,1700,"8,823 ",3 BHK Independent Floor in Vipul World Plots,Sector 48,seller,Not approved by RERA,3.0, Vipul World Plots,Vipul,Floor
60199999.99999999,Ready to move,2150,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
84800000.0,Ready to move,3395,"25,000 ",4 BHK Apartment in Conscient Hines Elevate,Sector 59,seller,Not approved by RERA,4.0, Conscient H,Conscient,Apartment
46000000.0,Ready to move,2095,"22,000 ",3 BHK Apartment in Conscient Hines Elevate,Sector 59,home,Not approved by RERA,3.0, Conscient H,Conscient,Apartment
76100000.0,Ready to move,2721,"28,000 ",4 BHK Apartment in DLF Park Place,Sector 54,Property In Gurgaon,Not approved by RERA,4.0, DLF Park Place,DLF,Apartment
50400000.0,Ready to move,2295,"22,000 ",3 BHK Apartment in Conscient Hines Elevate,Sector 59,properties for sale in Gurgaon,Not approved by RERA,3.0, Conscient H,Conscient,Apartment
55300000.0,Ready to move,1975,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
52500000.0,Ready to move,1875,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
46900000.00000001,Ready to move,1677,"28,000 ",2 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,2.0, DLF Park Place,DLF,Apartment
79900000.0,Under Construction,3978,"20,110 ",4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved by RERA,4.0, DLF The Arbour,DLF,Apartment
57000000.0,Ready to move,2595,"22,000 ",3 BHK Apartment in Conscient Hines Elevate,Sector 59,seller,Not approved by RERA,3.0, Conscient H,Conscient,Apartment
70000000.0,Under Construction,3950,"17,722 ",4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved by RERA,4.0, DLF The Arbour,DLF,Apartment
75700000.0,Ready to move,2704,"28,000 ",4 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,4.0, DLF Park Place,DLF,Apartment
67800000.0,Under Construction,2073,"32,706 ",4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved by RERA,4.0, Anant Raj The Estate Residences,Anant,Apartment
55500000.0,Ready to move,1983,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
55500000.0,Ready to move,1985,"28,000 ",2 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,2.0, DLF Park Place,DLF,Apartment
71400000.0,Ready to move,2550,"28,000 ",4 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,4.0, DLF Park Place,DLF,Apartment
56000000.0,Ready to move,1535,"36,506 ",3 BHK Apartment in Mahindra Luminare,Sector 59,seller,Not approved by RERA,3.0, Mah,Mah,Apartment
84600000.00000001,Under Construction,2586,"32,714 ",4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved by RERA,4.0, Anant Raj The Estate Residences,Anant,Apartment
65199999.99999999,Ready to move,2329,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
74900000.0,Ready to move,2677,"28,000 ",4 BHK Apartment in DLF Park Place,Sector 54,seller,Not approved by RERA,4.0, DLF Park Place,DLF,Apartment
66800000.0,Under Construction,2042,"32,713 ",4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved by RERA,4.0, Anant Raj The Estate Residences,Anant,Apartment
64300000.0,Under Construction,2250,"28,624 ",3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,seller,Approved by RERA,3.0, Birla Navya Avik Phase 1,Birla,Apartment
20000000.0,Resale,900,"22,222 ",Residential Plot,Sector 52,home,Not approved by RERA,0.0,Outside Socity,Outside,Plot
52500000.0,Resale,3312,"15,851 ",Residential Plot in Reputed Builder Plot Sector 39,Sector 39,Property In Gurgaon,Not approved by RERA,39.0, Reputed Builder Plot Sector 39,Reputed,Plot
8500000.0,Ready to move,1079,"7,877 ",2 BHK Apartment in BPTP Spacio,Sector 37D,properties for sale in Gurgaon,Not approved by RERA,2.0, BPTP Spacio,BPTP,Apartment
7500000.0,Ready to move,815,"9,202 ",2 BHK Apartment in Suncity Avenue 102,Sector 102,seller,Not approved by RERA,2.0, Suncity Avenue 102,Suncity,Apartment
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
